id,sentence1,sentence2,label
11,@81Ruiner اولا که خوندن که خوبه باید بخونن و بی طرفانه از هر دو طرف بخونن تا مث من مقدسش نبینن یا مث تو قاتل نبیننش بعدشم سلیمانی هشت سال از ایران دفاع کرد نقش کمی هم تو نابودی داعش نداشت بر فرض این چیزایی که درموردش میگن درست باشه نیایم همه چیو پا یه چیز بریزیم دور,@rezahn56 سلیمانی دست راست خامنه ای بود پس نمیتونه انسان درستی بوده باشه  سلیمانی کسی بود که تو اعتراضات عراق به مسئولین عراقی گفت ما تو ایران راه مقابله با این اعتراضاتو بلدیم  این یعنی تو کشتار جونای ایرانی دست داشته  لطفا از یه جنایت کار انسان پام نسازید  اونم یه حرومزاده مثل بقیشون,nonparaphrase
12,گربه های توی کوچه ی ما از اینا بیشترن ،جمع کنید خجالت بکشید جلو کاخ سفید آبرو ریزی نکنید  الان خود ترامپ از پنجره نگاه میکنه میگه ، ما با این همه امکانات هیچ...نخوردیم 😂  برید خونه امار کرونا رو بیشتر نکنید😂  #سلطنت_طلب   #شاه  #کاخ_سفید  #آمریکا https://t.co/bPYIO40mU9,ترامپ نمیگه ویروس کوید۱۹ و کرونا و از این کوفت و زهرمار ها. میگه ویروس چینی #ویروس_چینی,nonparaphrase
13,@hoora_110 @AfsharMahnaz ولی من پیشنهاد بهتری برای تو ورایفی پور دارم بسم الله  واکسن کرونا رو باید روی مسئولین آزمایش کرد :  1- اگر زنده ماندند، واکسن ایمن است .  2- اگر مردند ، کشور ایمن است  😂😂😂,واکسن کرونا رو باید روی مسئولین آزمایش کرد:   اگه زنده ماندند ، واکسن ایمن است.  اگه فوت شدن  ،کشور ایمن است ((((:,paraphrase
14,برای من همین که ترامپ در برابر این جنایتکار ایستاده که یک میلیون انسان را در اردوگاه‌ها زندانی کرده و یک میلیون انسان را از طریق پخش کرونا در جهان کُشته، کافی است تا طرفدارش باشم. ایرانی طرفدارِ بایدن، به ما بگو جو بایدن هشت سال معاون رئیس جمهور بود، دربرابر این جنایتکار چه کرد؟ https://t.co/WoYPbnXMAm,ترامپ هم مثل روحانیه. به گندکاری هاش افتخار میکنه. روحانی به مذاکره و برجام و ترامپ به .....👇👇 💢 در حالی که آمار قربانیان به کرونا در آمریکا از 200 هزار نفر گذشته است، ترامپ با توئیت  عکسی از گردهمایی انتخاباتی خود در پنسیلوانیا فخر فروشی می‌کند,nonparaphrase
15,یه تحقیق کنید لبنان حرم نداره؟؟  دوروز دیگه یمشت عرزشی رو خر میکنن میفرسن لبنان در مقابل مردم معترض از حزب الله دفاع کنن و بهشون میگن اگه الان نرید با دژمن تو لبنان بجنگید داعش از لبنان میاد تو ایران مارو میخوره 😂 #اعتصابات_سراسری  #حزب_الله_الارهابي,@bilashkar_313 @amoosteve @ababil_333 @MrCyberAvenger @EbneHava @drjahanpur عامو جمعش کنیددیگه این حنا رنگی نداره، تمام کثافات منطقه از داعش و القاعده گرفته تا حزب الله و برادر اسد، همگی معلول و از تولیدات جانبی انقلاب عزیز خودمون و صدور شیعه گری انقلابی هستند. روزی که دکون شما ها تعطیل بشه اونا هم اوتوماتیک نابود میشن.,nonparaphrase
16,🔻 دیلی میل: ترامپ ادعا کرد در عرض 4 هفته آینده آمریکا واکسن ضد کرونا را در اختیار خواهد داشت.(ترجمه رسانه تیک آف)  🔹رئیس جمهور آمریکا با برنامه «فاکس اند فرندز» گفت ظرف چند هفته واکسن را خواهیم داشت، ممکن است 4 هفته باید یا 8 هفته اما به هر حال قصد زدن آن را {به مردم} داریم. https://t.co/KYXihrC4yP,@DeanBrowningPA @TexanMcCann لیدر محترم  اپوزسیون میلیونی  ری استارت سید محمد حسینی است  ،ما هرگز  این خطای توییتر را فراموش نمیکنیم ،و مطمئن هستیم  که لیدر عزیزمان پیروز این میدان است  حق بر باطل پیروز است ، آقای ترامپ هم مثل لیدر ما  انسان دوست و مهربان است هرگز نمیتوانند شیوع و گسترش ویروس کرونا را  به,nonparaphrase
17,@Barbaro1115 نمیخواهم زیاد بحث کنم. ولی کی مثل ایشون تو این کشور با تجربه نیست. بایدن و ترامپ هم در این سن ها هستن. فقط یه خواهش دارم در مورد رهبری یکم بخونی بیشتر ایشونو میشناسی . همچنان که در قضیه کرونا گفت من چیزی نمیدونم هرچی ستاد کرونا بگه. یعنی چیزی ندونم نظر نمیدم.ولی روحانی این شکلی ن,@shahriyar_rs شایدم‌ اشتباه نرفتی!! این روزا تو ایران ادما به سرعت نور رنگ‌ عوض میکنن! امروز تو کرونا میرن مراسم فردا عکس از چه‌گوارا میذارن پس فردا ترامپ رو ستایش میکنن و احتمالا اگه دستشون میرسید به جو بایدن رای میدادن,nonparaphrase
18,ركورد‌ طلاق در زير ۳۰ ساله‌ها,زير ۳۰ ساله‌ها ركورد‌دار طلاق هستند,paraphrase
19,چرا ادعای ساینتیفیک امریکن درباره علم ستیز بودن ترامپ و مفید بودن بایدن برای پیشرفت علم غلط است؟ اگر مقصود، مدیریت کروناست که دولت ترامپ همان ابتدا برای تولید ۳۰۰ میلیون دوز  واکسن کرونا تا ماه ژانویه برنامه ریخت، به  الکس ایزار وزیر بهداشت دستور داد و بودجه فدرال اختصاص داده شد. https://t.co/LlfyY66aTy,@savramtzedeq @kargadan الان دو تا مشکل وجود داره یکی ترامپ و اونیکی کرونا! قبل از کرونا اگر لاتاری برده بودید و یه فامیل درجه‌ی اول تو آمریکا داشتین یا اینکه میتونستین نامه‌ی پیشنهاد کاری تو آمریکا نشون بدین معافیت از قانون منع ورود ایرانی‌ها میگرفتین اما الان هیچ ویزایی صادر نمیشه بخاطر کرونا,nonparaphrase
20,به ترامپ گفت پیرمرد بعد خودش از اول کرونا رفته توو قرنطینه  دم خروس یا قسم حضرت عباس؟,@DeanBrowningPA @TexanMcCann لیدر محترم  اپوزسیون میلیونی  ری استارت سید محمد حسینی است  ،ما هرگز  این خطای توییتر را فراموش نمیکنیم ،و مطمئن هستیم  که لیدر عزیزمان پیروز این میدان است  حق بر باطل پیروز است ، آقای ترامپ هم مثل لیدر ما  انسان دوست و مهربان است هرگز نمیتوانند شیوع و گسترش ویروس کرونا را  به,nonparaphrase
21,در پی شکست مذاکرات دموکرات‌‌ها و جمهوریخواهان، ترامپ با بهره‌گیری از اختیاراتش بسته‌های کمک در رابطه با کرونا را امضا کرد. این بسته شامل تمدید پرداخت کمک بیکاری، حمایت از مستاجران و تمدید مهلت پرداخت‌وام دانشجویی می‌شود. https://t.co/C6OVGXkzWC,کاستی‌ها و تعلل در امر مقابله با شیوع کرونا از سوی دولت ترامپ می‌تواند تاثیری تعیین‌کننده بر انتخابات آمریکا داشته باشد. ترامپ به آن امید بسته است که پیش از انتخابات واکسن مقابله با کرونا در بازار در دسترس قرار گیرد. https://t.co/jlI41gvfce,nonparaphrase
22,@HananyaPersian ترامپ..امریکایی ها ترامپ رو دوست دارند اگر چین ویروس کرونا رو نمیساخت و در دنیا پخش نمیکرد ترامپ تا بحال به همه وعده های انتخاباتیش دست یافته بود بایدن فقط پشتیبانی مهاجران غیر اروپایی و بخشی از سیاهپوستها رو داره,کرونا جنگ اقتصادی بین ابر قدرت های جهان و شکست آمریکا در جهان. دنیای پسا کرونا درست مانند جهان پس از 11 سپتامبر و 17 سپتامبر دیگر شبیه قبل نخواهد بود. خطرناک تر از کرونا تفکر حاکم بر مدیران آمریکا و ویروس خطرناکی چون ترامپ و تفکر یکجانبه گرایانه لابی قدرت حاکم بر آمریکاست. https://t.co/Ng1p2Gjkas,nonparaphrase
23,راهکار ترامپ برای کرونا منطقی اما واقعی هست ،  واکسن پوتین رویایی اما دروغ ، تفاوت چپ و راست اینجاست,@saiuron ترامپ تلاش کرد گندی که کارتر و اوباما و دموکرات ها خاورمیانه زدن جبران کنه تا حدودی به هدفش رسیده برنامش این بود در چهار ساله دوم ریاست جمهوریش کار حزب الله و ج.ا تموم کنه که متأسفانه چین با ویروس کرونا و همدستی دموکرات ها ممکنه مردم آمریکا فریب بده تا به ترامپ رای ندن 😐,nonparaphrase
24,دانشگاه آکسفورد آزمایش واکسن کرونا را از سر می‌گیرد https://t.co/4JF6lWP2BC,نتایج تشویق کننده برای داوطلبان آزمایشات واکسن کرونا در امارات @UEpersian https://t.co/hyzLFA39Ii,nonparaphrase
25,@HananyaPersian ترامپ..امریکایی ها ترامپ رو دوست دارند اگر چین ویروس کرونا رو نمیساخت و در دنیا پخش نمیکرد ترامپ تا بحال به همه وعده های انتخاباتیش دست یافته بود بایدن فقط پشتیبانی مهاجران غیر اروپایی و بخشی از سیاهپوستها رو داره,@HananyaPersian با وجودیکه منم دوست دارم ترامپ رای بیاره ولی گویا شانسش خیلی کمه. ضعیف عمل کردنش در مقابل ویروس کرونا و اعتراضات سیاهپوستان آمریکا و‌حمایتش از قشر سرمایه دار به جای قشر ضعیف در این دوره بد اقتصادی شانسش رو پایین آورده.,nonparaphrase
26,منشن بزارید می خام فالوووو کنم  اگه این توییت رو هم می بینید لطفا ریت بزنید 😍,دوستان لاک شدم  اگه میشه لطف کنید یه منشن بزارید برام ⚘🙏,nonparaphrase
27,@amirafshar135 به کسی نمیگم که ترسیدی...  اما ترسیدی!!!  من اندازه شماها بصیرت ندارم. اما مثل اینکه یادتون رفته داعش فقط پنج کیلومتر با کاخ بشار فاصله داشت یا مثلا طوفان شن طبس یا مثلا جنگ 33 روزه که اونموقع حزب الله فقط 2000 تا نیرو داشت نه 20000 مثل الان.  این فتنه ها تموم میشه,@bilashkar_313 @amoosteve @ababil_333 @MrCyberAvenger @EbneHava @drjahanpur عامو جمعش کنیددیگه این حنا رنگی نداره، تمام کثافات منطقه از داعش و القاعده گرفته تا حزب الله و برادر اسد، همگی معلول و از تولیدات جانبی انقلاب عزیز خودمون و صدور شیعه گری انقلابی هستند. روزی که دکون شما ها تعطیل بشه اونا هم اوتوماتیک نابود میشن.,nonparaphrase
28,@psithurrism_ ترامپ میگه این چیزایی که سازمان بهداشت جهانی درباره کرونا بافته خزعبله :)) چون اونجا هرچی بگن و تصمیم کل دنیا میگن چشم میبینی که,🔷پرزیدنت ترامپ چهار فرمان اجرایی به منظور ارائه حمایت مالی از آمریکاییان در برابر آسیب‌های شیوع ویروس کرونا امضا کرد. 2/2 https://t.co/wf0fkwDOfb https://t.co/jacFevq7Lc https://t.co/317oyHr6lH,nonparaphrase
29,جنگنده های ترکیه شمال عراق را بمباران کردند,ترکیه شمال عراق را بمباران کرد,paraphrase
30,کاور روزنامه تایم، این هفته خلاقیت جالبی داشته و انتخابات پیش روی ترامپ رو در شرایط کرونا بدین شکل به تصویر کشیده,@neer_oh تبلیغات زیادی صورت گرفت تا جانسون را ترامپ انگلستان و نوچه اون بدونن اما جانسون نشون داد که شخصیت مستقل و بسیار هوشمندی داره. به خوبی بحران برگزیت و  کرونا  را جمع کرد و الان هم با نکشیدن ماشه نشون میده حاضر نیست روی خر چلاق ترامپ شرط بندی کنه و منتظر بایدن هست,nonparaphrase
31,گربه های توی کوچه ی ما از اینا بیشترن ،جمع کنید خجالت بکشید جلو کاخ سفید آبرو ریزی نکنید  الان خود ترامپ از پنجره نگاه میکنه میگه ، ما با این همه امکانات هیچ...نخوردیم 😂  برید خونه امار کرونا رو بیشتر نکنید😂  #سلطنت_طلب   #شاه  #کاخ_سفید  #آمریکا https://t.co/bPYIO40mU9,ترامپ با کلی تبلیغات و جوسازی اومد گفت سوپرایز دارم و ... سوپرایزش استفاده از پلاسمای خون بهبود یافتگان کرونا برای درمان این بیماریه! اینو که ما هفته اول ک کرونا اومد انجام دادیم مرتیکه مو زرد !,nonparaphrase
32,@PisCanSco به نظر من دلایلت برات مسیح بودن ترامپ و جنگ جهانی کافی نبود. ارجاع می دم به کتاب انسان خردمند الان هزینه جنگ بالاست و سود صلح زیادی و فرهنگ و شعور سیاسی هم به سمت صلح حرکت می کنه اگر جنگی هم دار کار باشه مسلما مثل جنگ‌های قدیم نیست یک چیزی مثل همین کرونا است,بایدن چندوقت پیش به هواداران تیفوسی فوتبال(ورزش اول امریکا)در ایالت‌های میانی گفته بود:اگر ترامپ خرابکاری نکرده بود،الان ورزشگاه‌ها پر از تماشاگر بود.ترامپ هم ناراحت میشه زنگ میزنه به مدیر بیگ‌تن و میگه بدون توجه به کرونا باید بازی‌ها با حضور تماشاگر باشه.مدیر هم/۱,nonparaphrase
33,آمریکا: منطقه خودمختار کرد در سوریه را به رسمیت نمی‌شناسیم,واشنگتن هیچ نوع منطقه خودمختار در سوریه را به رسمیت نمی‌شناسد,nonparaphrase
34,ترامپ تروریست: «اظهارات سیاسی می‌شنویم که مردم را درباره واکسن کرونا نگران می‌کند. واکسن کرونا امن خواهد بود و مردم آمریکا به زودی درباره واکسن کووید-۱۹ شگفت زده خواهند شد.»  دیگه چه جوری بگه کار خودمونه؟!  #کرونای_امریکایی,@shahriyar_rs شایدم‌ اشتباه نرفتی!! این روزا تو ایران ادما به سرعت نور رنگ‌ عوض میکنن! امروز تو کرونا میرن مراسم فردا عکس از چه‌گوارا میذارن پس فردا ترامپ رو ستایش میکنن و احتمالا اگه دستشون میرسید به جو بایدن رای میدادن,nonparaphrase
35,@neer_oh تبلیغات زیادی صورت گرفت تا جانسون را ترامپ انگلستان و نوچه اون بدونن اما جانسون نشون داد که شخصیت مستقل و بسیار هوشمندی داره. به خوبی بحران برگزیت و  کرونا  را جمع کرد و الان هم با نکشیدن ماشه نشون میده حاضر نیست روی خر چلاق ترامپ شرط بندی کنه و منتظر بایدن هست,🔴برادر ترامپ بر اثر ابتلا به ویروس کرونا درگذشت.   «رابرت ترامپ» برادر کوچک‌ تر «دونالد ترامپ» رئیس‌ جمهوری آمریکا که به دلیل بیماری کرونا در بیمارستان بستری بود، درگذشت. کروناعه دیگه، با کسی شوخی نداره. https://t.co/Urz61HG4Rf,nonparaphrase
36,ترامپ تروریست: «اظهارات سیاسی می‌شنویم که مردم را درباره واکسن کرونا نگران می‌کند. واکسن کرونا امن خواهد بود و مردم آمریکا به زودی درباره واکسن کووید-۱۹ شگفت زده خواهند شد.»  دیگه چه جوری بگه کار خودمونه؟!  #کرونای_امریکایی,بایدن چندوقت پیش به هواداران تیفوسی فوتبال(ورزش اول امریکا)در ایالت‌های میانی گفته بود:اگر ترامپ خرابکاری نکرده بود،الان ورزشگاه‌ها پر از تماشاگر بود.ترامپ هم ناراحت میشه زنگ میزنه به مدیر بیگ‌تن و میگه بدون توجه به کرونا باید بازی‌ها با حضور تماشاگر باشه.مدیر هم/۱,nonparaphrase
37,@sharifi003 کاش سر به تنت نبود و واکسن کرونا ساخته میشد,@behnamsamadi_ir داداش به نظرت واکسن کرونا کی میاد؟,nonparaphrase
38,گربه های توی کوچه ی ما از اینا بیشترن ،جمع کنید خجالت بکشید جلو کاخ سفید آبرو ریزی نکنید  الان خود ترامپ از پنجره نگاه میکنه میگه ، ما با این همه امکانات هیچ...نخوردیم 😂  برید خونه امار کرونا رو بیشتر نکنید😂  #سلطنت_طلب   #شاه  #کاخ_سفید  #آمریکا https://t.co/bPYIO40mU9,@MohammadIzadi10 دموکراتها از اولش هم تصور شکست ترامپ در انتخابات پیش رو را نمیکردند. بایدن و سندرز را هم فدا کردند که مثلا میشل اوباما فدا نشود. سن بالای بایدن و سندرز نشان از این داشت که دموکراتها رویای شکست ترامپ و ریاست دو دوره ای را  اصلا نداشتند. منتهی بحران فلوید و کرونا بازی را عوض کرد,nonparaphrase
39,خواهر و شوهرخواهر شارون استون کرونا گرفتن و حسابی از وضعیت نبود تست کرونا شاکیه. به ترامپ میگه قاتل! https://t.co/FJ7mbUjgyz,چرا ادعای ساینتیفیک امریکن درباره علم ستیز بودن ترامپ و مفید بودن بایدن برای پیشرفت علم غلط است؟ اگر مقصود، مدیریت کروناست که دولت ترامپ همان ابتدا برای تولید ۳۰۰ میلیون دوز  واکسن کرونا تا ماه ژانویه برنامه ریخت، به  الکس ایزار وزیر بهداشت دستور داد و بودجه فدرال اختصاص داده شد. https://t.co/LlfyY66aTy,nonparaphrase
40,دقت کنید این اعتراضات مردم لبنان قبل از کرونا هم بود ولی بخاطر ویروس چینی ناتمام ماند! همچنین تظاهرات های مردم هنگ کنگ، عراق،ایران و ونزوئلا. حالا فکر کنید این زنجیره دوباره به حرکت در بیاد و منافع چپ جهانی و دموکرات ها متزلزل بشه، بایدن چگونه در مناظرات با ترامپ حاضر خواهد شد؟,در آمریکا، گردهمایی سراسری حزب جمهوری خواه دیروز با اعلام رسمی نامزدی دونالد ترامپ در انتخابات ریاست جمهوری، کارش را آغاز کرد. آقای ترامپ در سخنانی، دموکرات‌ها را متهم کرد که می‌خواهند از همه‌گیری کرونا سوءاستفاده کنند تا در انتخابات پیروز شوند. خشایار جنیدی گزارش می‌دهد. https://t.co/U6rQxXnjJI,nonparaphrase
41,🔺پرزيدنت ترامپ و جو بایدن در مورد چگونگی بهبودی آمریکا از همه‌گیری ویروس کرونا اختلاف‌نظر دارند  ⚡️پرزیدنت ترامپ و جو بایدن، معاون رئیس جمهوری پیشین، ارزیابی‌های بسيار متفاوتی را در مورد تاثیر همه‌گیری ویروس کرونا بر آمریکا و سرعت بهبودی کشور، ارائه دادند https://t.co/O5kcZNwPD7,@MohammadIzadi10 دموکراتها از اولش هم تصور شکست ترامپ در انتخابات پیش رو را نمیکردند. بایدن و سندرز را هم فدا کردند که مثلا میشل اوباما فدا نشود. سن بالای بایدن و سندرز نشان از این داشت که دموکراتها رویای شکست ترامپ و ریاست دو دوره ای را  اصلا نداشتند. منتهی بحران فلوید و کرونا بازی را عوض کرد,nonparaphrase
42,ترامپ تروریست: «اظهارات سیاسی می‌شنویم که مردم را درباره واکسن کرونا نگران می‌کند. واکسن کرونا امن خواهد بود و مردم آمریکا به زودی درباره واکسن کووید-۱۹ شگفت زده خواهند شد.»  دیگه چه جوری بگه کار خودمونه؟!  #کرونای_امریکایی,@Moriyarty1 استاد یک ساعت دیگه ترامپ سخنرانی داره و احتمالا از واکسن کرونا خبر میده و به طبع اونس میاد توی کانال ۱۸۰۰ بازم نظر شما صعودی هست؟؟,nonparaphrase
43,خبر خوشحال کننده که روحانی قولشو داده بود امشب عملی میشود . ۱. واریز یارانه  ۲. خنک شدن هوا  ۳. عقب کشیدن ساعت و ۱ ساعت خواب بیشتره  الی برکت الله و در اخر یه خبر کوچولو بی اهمیت تحریمای سازمان ملل اجرایی شد....,روحانی ،نه ببخشید فریدون ،تو سخنرانیش گفت ،من از روس و چین تشکر میکنم که دو بار نگذاشتند آمریکا از سازمان ملل استفاده ی ابزا ری بکند  ولی آقای فریدون نمیگه که اگر خلیج و کیش رو ،و مازندران و خزر رو به هر کشوری می‌دادند وتو که هیچی ،تمام اعضای سازمان ملل رو هم براشون ترور میکرد .,nonparaphrase
44,مثل اینکه روسیه واکسن کرونا رو درست کرده و پوتین هم رو دخترش امتحان کرده 😍 https://t.co/FtZCvc80yg,اینکه روسیه اولین واکسن کرونا رو کشف کرده از ترسناک ترین خبرهاس!,nonparaphrase
45,یه رالی موتورسواری قراره برگزارشه که ۲۵۰هزارنفر بابتش از سراسر آمریکا در داکوتای جنوبی جمع‌شدند. با هرکدومشون که مصاحبه می‌شه حماقت و بلاهت فواره می‌زنه و چرندیات ترامپ در رابطه با کرونا رو تفت می‌دند و آخرش به این نتیجه می‌رسند که این توطئه‌ی چپ‌ها برای شکست ترامپ در انتخاباته!,@shahriyar_rs شایدم‌ اشتباه نرفتی!! این روزا تو ایران ادما به سرعت نور رنگ‌ عوض میکنن! امروز تو کرونا میرن مراسم فردا عکس از چه‌گوارا میذارن پس فردا ترامپ رو ستایش میکنن و احتمالا اگه دستشون میرسید به جو بایدن رای میدادن,nonparaphrase
46,وزیر خارجه عربستان اعلام کرد که این کشور به زودی به معارضان سوری موشک‌های زمین به هوا خواهد داد.,خبرگزاری فارس: عادل الجبیر، وزیر خارجه عربستان در گفت‌وگو با مجله اشپیگل آلمان تأکید کرد که عربستان به زودی معارضان سوریه را با موشک‌های زمین به هوا تجهیز خواهد کرد.,paraphrase
47,بایدن به ترامپ میگه گفتی وایتکس بخورین واسه کرونا میگه مزاح بود😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,درگذشت برادر ترامپ بر اثر ابتلا به کرونا   «رابرت ترامپ» برادر کوچک‌تر «دونالد ترامپ» رئیس‌جمهوری آمریکا که به دلیل بیماری در بیمارستان بستری بود، درگذشت. https://t.co/2F1gKpd2Zr,nonparaphrase
48,تو این دنیای کثیف همه آدمها فقط سر کارن   با ترامپ با حزب الله با داعش با طالبان با ج ا با جنگ بین کشورها با اتحادیه اروپا با سازمان ملل  با کرونا با برندها  با شرکتهای داروی  با کارتون سیمسون ها و با خیلی چیزهای دیگه که شما می تونید منشن کنید.,بدبخت حزب الله و سید حسن نصرالله اگر نبودن داعش تیکه تیکه ات کرده بود و زن و زندگیت و غارت بفهم نفهم #شورش_لبنان #بیروت,nonparaphrase
49,@mojdehk1 @Mehdi_Mojmeli بله اوایل کرونا تو همین توییتر ارزشی ها و انقلابی ها چه پایکوبی که میکردن از فلاکت مردم امریکا. میگفتن چون مردم امریکا مالیات میدن به دولت امریکا،  پس برن به درک.  پس اگه ترامپ هم منطق ارزشی ها رو داشته باشه الان میگه مردم ایران مالیات میدن به دولت پس برین به درک,خواهر و شوهرخواهر شارون استون کرونا گرفتن و حسابی از وضعیت نبود تست کرونا شاکیه. به ترامپ میگه قاتل! https://t.co/FJ7mbUjgyz,nonparaphrase
50,@Khani به نظر من برنده نهایی ترامپ هست مگر اینکه دموکرات ها از کرونا و جورج فلوید و فرار مالیاتی بتونن خوب استفاده کنن در مورد ان شاالله نمی دونم چه تیکه ای محسوب میشه,@MohammadIzadi10 دموکراتها از اولش هم تصور شکست ترامپ در انتخابات پیش رو را نمیکردند. بایدن و سندرز را هم فدا کردند که مثلا میشل اوباما فدا نشود. سن بالای بایدن و سندرز نشان از این داشت که دموکراتها رویای شکست ترامپ و ریاست دو دوره ای را  اصلا نداشتند. منتهی بحران فلوید و کرونا بازی را عوض کرد,nonparaphrase
51,@Mirror53048604 عباس موسوی سخنگوی وزارت امور خارجه جمهوری اسلامی می گوید: "به آقای ترامپ توصیه می‌کنیم در شرایط کنونی شیوع بیماری کرونا در منطقه و جهان بهتر است ناوگان نظامی خود را برای کمک به مهار و مدیریت این بیماری در داخل آمریکا به کار گیرد." 3,درگذشت برادر ترامپ بر اثر ابتلا به کرونا   «رابرت ترامپ» برادر کوچک‌تر «دونالد ترامپ» رئیس‌جمهوری آمریکا که به دلیل بیماری در بیمارستان بستری بود، درگذشت. https://t.co/2F1gKpd2Zr,nonparaphrase
